cost_bps,net_return_diagnostic,sharpe_diagnostic,max_drawdown,turnover,total_cost,asset,model,seed,fold_id
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,LightGBM,42,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,LightGBM,42,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,LightGBM,42,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,LightGBM,42,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,XGBoost,42,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,XGBoost,42,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,XGBoost,42,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,XGBoost,42,monthly_expanding_01
0,0.8459182467871005,2.760057326028145,-0.16549548156049276,1.0,0.0,SPY,CatBoost,42,monthly_expanding_01
8,0.8450111261318789,2.7552040346350104,-0.1662130102837236,1.0,0.0008,SPY,CatBoost,42,monthly_expanding_01
15,0.8442171210792109,2.750953764614588,-0.16684084791655074,1.0,0.0015,SPY,CatBoost,42,monthly_expanding_01
25,0.8430823831819745,2.744876249021144,-0.16773775882058917,1.0,0.0025,SPY,CatBoost,42,monthly_expanding_01
0,-0.04108629436448252,-0.16848464125822407,-0.20726084022248337,19.0,0.0,SPY,random,11,monthly_expanding_02
8,-0.049372031186874166,-0.22053472324694434,-0.21298657715044944,19.0,0.015200000000000002,SPY,random,11,monthly_expanding_02
15,-0.0565737586184456,-0.26620287238312673,-0.21796971846121804,19.0,0.0285,SPY,random,11,monthly_expanding_02
25,-0.06678420680115038,-0.3315871714021262,-0.22504516630007942,19.0,0.0475,SPY,random,11,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,historical_mean,11,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,historical_mean,11,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,historical_mean,11,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,historical_mean,11,monthly_expanding_02
0,0.3778965728248618,2.4419191732373755,-0.1137310027890227,9.0,0.0,SPY,random_walk,11,monthly_expanding_02
8,0.37227413795504893,2.401231485063819,-0.1152345032776041,9.0,0.007200000000000001,SPY,random_walk,11,monthly_expanding_02
15,0.3673663717841511,2.3654430214110147,-0.11655006620511232,9.0,0.013500000000000002,SPY,random_walk,11,monthly_expanding_02
25,0.3603744638463513,2.314071069940779,-0.11842944181583881,9.0,0.0225,SPY,random_walk,11,monthly_expanding_02
0,0.6207543255772776,5.967400553303723,0.0,1.0,0.0,SPY,buy_hold,11,monthly_expanding_02
8,0.6200595500628179,5.972233757136487,0.0,1.0,0.0008,SPY,buy_hold,11,monthly_expanding_02
15,0.619451438121605,5.976230064958737,0.0,1.0,0.0015,SPY,buy_hold,11,monthly_expanding_02
25,0.6185824095667032,5.981557196863609,0.0,1.0,0.0025,SPY,buy_hold,11,monthly_expanding_02
0,0.005845484636358256,0.11545791574859586,-0.3495768223582113,3.0,0.0,SPY,momentum,11,monthly_expanding_02
8,0.004483556975082292,0.10739583972573381,-0.35013427765627403,3.0,0.0024000000000000002,SPY,momentum,11,monthly_expanding_02
15,0.003291957972904269,0.10032697578211716,-0.3506220510420789,3.0,0.0045000000000000005,SPY,momentum,11,monthly_expanding_02
25,0.0015898154778672957,0.09020704536686283,-0.35131887016465735,3.0,0.0075,SPY,momentum,11,monthly_expanding_02
0,-0.3995121320763717,-5.967400553303723,-0.5903788093769331,1.0,0.0,SPY,moving_average,11,monthly_expanding_02
8,-0.3998062760897426,-5.962287211001987,-0.5907298815877043,1.0,0.0008,SPY,moving_average,11,monthly_expanding_02
15,-0.40006374081840923,-5.957586242884064,-0.5910370697721292,1.0,0.0015,SPY,moving_average,11,monthly_expanding_02
25,-0.4004316913941931,-5.950508792645659,-0.5914759100355933,1.0,0.0025,SPY,moving_average,11,monthly_expanding_02
0,0.5018304496497852,3.681587009314836,-0.06658247948899887,3.0,0.0,SPY,logistic_regression,11,monthly_expanding_02
8,0.4997894058049086,3.660120569480811,-0.06738247948899889,3.0,0.0024000000000000002,SPY,logistic_regression,11,monthly_expanding_02
15,0.4980036213922001,3.641048192908804,-0.06808247948899893,3.0,0.0045000000000000005,SPY,logistic_regression,11,monthly_expanding_02
