block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
20,0.75,0.75,1.0,SPY,historical_mean,11,monthly_expanding_02
25,,,,SPY,historical_mean,11,monthly_expanding_02
40,,,,SPY,historical_mean,11,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,SPY,random_walk,11,monthly_expanding_02
25,,,,SPY,random_walk,11,monthly_expanding_02
40,,,,SPY,random_walk,11,monthly_expanding_02
20,0.75,0.75,1.0,SPY,buy_hold,11,monthly_expanding_02
25,,,,SPY,buy_hold,11,monthly_expanding_02
40,,,,SPY,buy_hold,11,monthly_expanding_02
20,0.5595238095238095,0.5833333333333333,1.0,SPY,momentum,11,monthly_expanding_02
25,,,,SPY,momentum,11,monthly_expanding_02
40,,,,SPY,momentum,11,monthly_expanding_02
20,0.25,0.25,1.0,SPY,moving_average,11,monthly_expanding_02
25,,,,SPY,moving_average,11,monthly_expanding_02
40,,,,SPY,moving_average,11,monthly_expanding_02
20,0.7023809523809523,0.75,1.0,SPY,logistic_regression,11,monthly_expanding_02
25,,,,SPY,logistic_regression,11,monthly_expanding_02
40,,,,SPY,logistic_regression,11,monthly_expanding_02
20,0.75,0.75,1.0,SPY,LightGBM,11,monthly_expanding_02
25,,,,SPY,LightGBM,11,monthly_expanding_02
40,,,,SPY,LightGBM,11,monthly_expanding_02
20,0.75,0.75,1.0,SPY,XGBoost,11,monthly_expanding_02
25,,,,SPY,XGBoost,11,monthly_expanding_02
40,,,,SPY,XGBoost,11,monthly_expanding_02
20,0.75,0.75,1.0,SPY,CatBoost,11,monthly_expanding_02
25,,,,SPY,CatBoost,11,monthly_expanding_02
40,,,,SPY,CatBoost,11,monthly_expanding_02
20,0.44047619047619047,0.4880952380952381,1.0,SPY,random,17,monthly_expanding_02
25,,,,SPY,random,17,monthly_expanding_02
40,,,,SPY,random,17,monthly_expanding_02
20,0.75,0.75,1.0,SPY,historical_mean,17,monthly_expanding_02
25,,,,SPY,historical_mean,17,monthly_expanding_02
40,,,,SPY,historical_mean,17,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,SPY,random_walk,17,monthly_expanding_02
25,,,,SPY,random_walk,17,monthly_expanding_02
40,,,,SPY,random_walk,17,monthly_expanding_02
20,0.75,0.75,1.0,SPY,buy_hold,17,monthly_expanding_02
25,,,,SPY,buy_hold,17,monthly_expanding_02
40,,,,SPY,buy_hold,17,monthly_expanding_02
20,0.5595238095238095,0.5833333333333333,1.0,SPY,momentum,17,monthly_expanding_02
25,,,,SPY,momentum,17,monthly_expanding_02
40,,,,SPY,momentum,17,monthly_expanding_02
20,0.25,0.25,1.0,SPY,moving_average,17,monthly_expanding_02
25,,,,SPY,moving_average,17,monthly_expanding_02
40,,,,SPY,moving_average,17,monthly_expanding_02
20,0.7023809523809523,0.75,1.0,SPY,logistic_regression,17,monthly_expanding_02
25,,,,SPY,logistic_regression,17,monthly_expanding_02
40,,,,SPY,logistic_regression,17,monthly_expanding_02
20,0.25,0.25,1.0,SPY,LightGBM,17,monthly_expanding_02
25,,,,SPY,LightGBM,17,monthly_expanding_02
40,,,,SPY,LightGBM,17,monthly_expanding_02
20,0.75,0.75,1.0,SPY,XGBoost,17,monthly_expanding_02
25,,,,SPY,XGBoost,17,monthly_expanding_02
40,,,,SPY,XGBoost,17,monthly_expanding_02
20,0.36904761904761907,0.39285714285714285,1.0,SPY,CatBoost,17,monthly_expanding_02
25,,,,SPY,CatBoost,17,monthly_expanding_02
40,,,,SPY,CatBoost,17,monthly_expanding_02
20,0.4642857142857143,0.4880952380952381,1.0,SPY,random,23,monthly_expanding_02
25,,,,SPY,random,23,monthly_expanding_02
40,,,,SPY,random,23,monthly_expanding_02
20,0.75,0.75,1.0,SPY,historical_mean,23,monthly_expanding_02
25,,,,SPY,historical_mean,23,monthly_expanding_02
40,,,,SPY,historical_mean,23,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,SPY,random_walk,23,monthly_expanding_02
25,,,,SPY,random_walk,23,monthly_expanding_02
40,,,,SPY,random_walk,23,monthly_expanding_02
20,0.75,0.75,1.0,SPY,buy_hold,23,monthly_expanding_02
25,,,,SPY,buy_hold,23,monthly_expanding_02
40,,,,SPY,buy_hold,23,monthly_expanding_02
20,0.5595238095238095,0.5833333333333333,1.0,SPY,momentum,23,monthly_expanding_02
25,,,,SPY,momentum,23,monthly_expanding_02
40,,,,SPY,momentum,23,monthly_expanding_02
20,0.25,0.25,1.0,SPY,moving_average,23,monthly_expanding_02
25,,,,SPY,moving_average,23,monthly_expanding_02
40,,,,SPY,moving_average,23,monthly_expanding_02
20,0.7023809523809523,0.75,1.0,SPY,logistic_regression,23,monthly_expanding_02
25,,,,SPY,logistic_regression,23,monthly_expanding_02
40,,,,SPY,logistic_regression,23,monthly_expanding_02
20,0.75,0.75,1.0,SPY,LightGBM,23,monthly_expanding_02
25,,,,SPY,LightGBM,23,monthly_expanding_02
40,,,,SPY,LightGBM,23,monthly_expanding_02
20,0.75,0.75,1.0,SPY,XGBoost,23,monthly_expanding_02
25,,,,SPY,XGBoost,23,monthly_expanding_02
40,,,,SPY,XGBoost,23,monthly_expanding_02
20,0.2976190476190476,0.3214285714285714,1.0,SPY,CatBoost,23,monthly_expanding_02
25,,,,SPY,CatBoost,23,monthly_expanding_02
40,,,,SPY,CatBoost,23,monthly_expanding_02
20,0.5357142857142857,0.5595238095238095,1.0,SPY,random,42,monthly_expanding_02
25,,,,SPY,random,42,monthly_expanding_02
40,,,,SPY,random,42,monthly_expanding_02
20,0.75,0.75,1.0,SPY,historical_mean,42,monthly_expanding_02
25,,,,SPY,historical_mean,42,monthly_expanding_02
40,,,,SPY,historical_mean,42,monthly_expanding_02
20,0.6547619047619048,0.6785714285714286,1.0,SPY,random_walk,42,monthly_expanding_02
25,,,,SPY,random_walk,42,monthly_expanding_02
40,,,,SPY,random_walk,42,monthly_expanding_02
20,0.75,0.75,1.0,SPY,buy_hold,42,monthly_expanding_02
25,,,,SPY,buy_hold,42,monthly_expanding_02
40,,,,SPY,buy_hold,42,monthly_expanding_02
20,0.5595238095238095,0.5833333333333333,1.0,SPY,momentum,42,monthly_expanding_02
25,,,,SPY,momentum,42,monthly_expanding_02
40,,,,SPY,momentum,42,monthly_expanding_02
20,0.25,0.25,1.0,SPY,moving_average,42,monthly_expanding_02
25,,,,SPY,moving_average,42,monthly_expanding_02
40,,,,SPY,moving_average,42,monthly_expanding_02
20,0.7023809523809523,0.75,1.0,SPY,logistic_regression,42,monthly_expanding_02
25,,,,SPY,logistic_regression,42,monthly_expanding_02
40,,,,SPY,logistic_regression,42,monthly_expanding_02
20,0.75,0.75,1.0,SPY,LightGBM,42,monthly_expanding_02
25,,,,SPY,LightGBM,42,monthly_expanding_02
40,,,,SPY,LightGBM,42,monthly_expanding_02
20,0.75,0.75,1.0,SPY,XGBoost,42,monthly_expanding_02
25,,,,SPY,XGBoost,42,monthly_expanding_02
40,,,,SPY,XGBoost,42,monthly_expanding_02
20,0.5833333333333333,0.6071428571428572,1.0,SPY,CatBoost,42,monthly_expanding_02
25,,,,SPY,CatBoost,42,monthly_expanding_02
40,,,,SPY,CatBoost,42,monthly_expanding_02
20,0.6985294117647058,0.7125,1.0,QQQ,random,11,monthly_expanding_01
25,,,,QQQ,random,11,monthly_expanding_01
40,,,,QQQ,random,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,historical_mean,11,monthly_expanding_01
25,,,,QQQ,historical_mean,11,monthly_expanding_01
40,,,,QQQ,historical_mean,11,monthly_expanding_01
20,0.31875,0.33088235294117646,1.0,QQQ,random_walk,11,monthly_expanding_01
25,,,,QQQ,random_walk,11,monthly_expanding_01
40,,,,QQQ,random_walk,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,buy_hold,11,monthly_expanding_01
25,,,,QQQ,buy_hold,11,monthly_expanding_01
40,,,,QQQ,buy_hold,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,momentum,11,monthly_expanding_01
25,,,,QQQ,momentum,11,monthly_expanding_01
40,,,,QQQ,momentum,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,moving_average,11,monthly_expanding_01
25,,,,QQQ,moving_average,11,monthly_expanding_01
40,,,,QQQ,moving_average,11,monthly_expanding_01
20,0.17647058823529413,0.1875,1.0,QQQ,logistic_regression,11,monthly_expanding_01
25,,,,QQQ,logistic_regression,11,monthly_expanding_01
40,,,,QQQ,logistic_regression,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,LightGBM,11,monthly_expanding_01
25,,,,QQQ,LightGBM,11,monthly_expanding_01
40,,,,QQQ,LightGBM,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,XGBoost,11,monthly_expanding_01
25,,,,QQQ,XGBoost,11,monthly_expanding_01
40,,,,QQQ,XGBoost,11,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,CatBoost,11,monthly_expanding_01
25,,,,QQQ,CatBoost,11,monthly_expanding_01
40,,,,QQQ,CatBoost,11,monthly_expanding_01
20,0.41875,0.5808823529411764,1.0,QQQ,random,17,monthly_expanding_01
25,,,,QQQ,random,17,monthly_expanding_01
40,,,,QQQ,random,17,monthly_expanding_01
20,0.5,0.5,1.0,QQQ,historical_mean,17,monthly_expanding_01
25,,,,QQQ,historical_mean,17,monthly_expanding_01
40,,,,QQQ,historical_mean,17,monthly_expanding_01
20,0.31875,0.33088235294117646,1.0,QQQ,random_walk,17,monthly_expanding_01
25,,,,QQQ,random_walk,17,monthly_expanding_01
