run_id,asset,asset_class,model,feature_ablation,retraining_frequency,hyperparameter_variant,feature_count,feature_hash,balanced_accuracy,net_return_realistic,top_native_importance,shap_status
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,quarterly_expanding,base,168,2338a5a4d6efca09,0.5,-0.009874423266859611,volatility_200:18.6803|sma_100_research:14.7139|trend_mass_index:11.8630|week_of_year:11.5996|volume_nvi:8.9875|volume_adi:10.8135|volatility_kch:9.9599|volume_sma_200:8.9339|momentum_50_research:8.7939|volume_vwap:7.5821,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,monthly_rolling,base,168,2338a5a4d6efca09,0.19117647058823528,0.07788622309279614,volatility_50_research:16.1710|ema_10:9.8756|volume_nvi:9.4221|volatility_100:7.8149|sma_100_research:7.7786|volatility_200:15.5781|ema_100:9.9161|volatility_200_research:9.4039|trend_visual_ichimoku_b:7.6006|volatility_kcl:7.0708,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,monthly_expanding,shallow_regularized,168,2338a5a4d6efca09,0.5,0.7717085294697303,quarter:39.2994|ema_200:26.0466|momentum_ppo_hist:12.3401|low:9.6673|volatility_20_research:6.1521|trend_visual_ichimoku_b:40.4835|sma_20_research:21.5202|sma_200_research:17.1208|week_of_year:8.8082|volatility_100_research:4.4145,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,full,monthly_expanding,deeper_neighbor,168,2338a5a4d6efca09,0.39705882352941174,0.39708135109794784,momentum_200_research:22.4651|volume_obv:11.1549|volatility_bbp:10.1959|sma_20:7.8102|volatility_20_research:7.6424|ema_10:14.9454|volume_adi:11.0389|volatility_kcc:8.7640|sma_10:8.6997|volatility_atr:7.2297,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,remove_momentum,monthly_expanding,base,144,b4fa6d5456d97861,0.19117647058823528,0.07788622309279614,month:12.5490|sma_20_research:12.0102|low:11.7117|sma_200:10.9741|sma_10:8.5076|volume_adi:35.0931|close_lag_5:15.8046|ema_10:8.0524|trend_kst:7.1656|volatility_5:6.6712,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,remove_volatility,monthly_expanding,base,135,e995863ecdfac75e,0.3088235294117647,0.14891819543731422,ema_50:17.8580|momentum_200_research:15.6681|sma_200_research:13.3043|volume_nvi:9.7081|trend_vortex_ind_diff:7.4319|volume_adi:15.7255|close_lag_20:15.2250|sma_200:14.8979|volume_nvi:12.1764|trend_ichimoku_conv:7.9196,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,remove_volume,monthly_expanding,base,146,680d6e90e20b5228,0.5,0.7717085294697303,trend_mass_index:22.5526|trend_visual_ichimoku_b:19.5136|ema_100:13.6853|volatility_50_research:11.1874|trend_adx_neg:7.0310|sma_5_research:17.7030|volatility_200_research:12.5248|quarter:11.8995|ema_10:11.0004|trend_ema_fast:8.1934,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,remove_lagged_returns,monthly_expanding,base,156,59583af45b29711a,0.5,0.7717085294697303,close_lag_5:16.6330|momentum_kama:16.3184|quarter:11.8094|trend_ichimoku_a:10.7783|high:9.7194|others_cr:13.1310|ema_10:9.9091|volatility_50:9.8173|volatility_dch:8.9603|close_lag_3:8.7828,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,noisy_full,monthly_expanding,base,168,2338a5a4d6efca09,0.5,0.7717085294697303,volume_sma_200:21.1251|sma_200_research:18.9584|month:17.8079|sma_50_research:8.3552|trend_mass_index:7.8563|low:14.0114|volume_zscore_200_research:13.1524|sma_100_research:11.3785|volume_nvi:11.1299|close_lag_1:9.3410,not_run_dependency_unavailable
RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,QQQ,etfs,LightGBM,full,weekly_expanding,base,168,2338a5a4d6efca09,0.75,0.3598687699091707,ema_100:5.0000|volume_sma_200:3.0000|volatility_100:2.0000|volume_obv:2.0000|volume_vpt:2.0000|volume_sma_50:3.0000|ema_100:3.0000|volume_obv:3.0000|volatility_100:2.0000|volatility_200:2.0000,not_run_dependency_unavailable
