block_length,ci_low,ci_high,circular_shift_p,asset,model,seed,fold_id
25,0.4092843442417963,0.5812204027253103,0.7462537462537463,SPY,random_walk,17,long_window_02
40,0.4283947342568032,0.5813034188034186,0.7002997002997003,SPY,random_walk,17,long_window_02
20,0.5,0.5,1.0,SPY,buy_hold,17,long_window_02
25,0.5,0.5,1.0,SPY,buy_hold,17,long_window_02
40,0.5,0.5,1.0,SPY,buy_hold,17,long_window_02
20,0.24227727629513343,0.49967586436170214,0.8341658341658341,SPY,momentum,17,long_window_02
25,0.21084700392657202,0.49159663865546216,0.7992007992007992,SPY,momentum,17,long_window_02
40,0.16602620986863945,0.491869918699187,0.7652347652347652,SPY,momentum,17,long_window_02
20,0.5,0.5,1.0,SPY,moving_average,17,long_window_02
25,0.5,0.5,1.0,SPY,moving_average,17,long_window_02
40,0.5,0.5,1.0,SPY,moving_average,17,long_window_02
20,0.3697290196298531,0.6610129960472253,0.46253746253746253,SPY,logistic_regression,17,long_window_02
25,0.3460757672634271,0.6372715542944091,0.46153846153846156,SPY,logistic_regression,17,long_window_02
40,0.3625366968335917,0.5982589285714285,0.3726273726273726,SPY,logistic_regression,17,long_window_02
20,0.5,0.5,1.0,SPY,LightGBM,17,long_window_02
25,0.5,0.5,1.0,SPY,LightGBM,17,long_window_02
40,0.5,0.5,1.0,SPY,LightGBM,17,long_window_02
20,0.5,0.5,1.0,SPY,XGBoost,17,long_window_02
25,0.5,0.5,1.0,SPY,XGBoost,17,long_window_02
40,0.5,0.5,1.0,SPY,XGBoost,17,long_window_02
20,0.40695857558139537,0.6489739611440907,0.2967032967032967,SPY,CatBoost,17,long_window_02
25,0.3941532147528529,0.6367901503821867,0.25274725274725274,SPY,CatBoost,17,long_window_02
40,0.38888118994826315,0.583479020979021,0.2977022977022977,SPY,CatBoost,17,long_window_02
20,0.4290084033613446,0.5319408775702116,0.7832167832167832,SPY,random,23,long_window_02
25,0.43111766247379457,0.5287238532673927,0.7492507492507493,SPY,random,23,long_window_02
40,0.33606442577030815,0.5180805369913495,0.7162837162837162,SPY,random,23,long_window_02
20,0.5,0.5,1.0,SPY,historical_mean,23,long_window_02
25,0.5,0.5,1.0,SPY,historical_mean,23,long_window_02
40,0.5,0.5,1.0,SPY,historical_mean,23,long_window_02
20,0.415774034384396,0.5848536706349207,0.7382617382617382,SPY,random_walk,23,long_window_02
25,0.42216401661352576,0.5708482142857142,0.7562437562437563,SPY,random_walk,23,long_window_02
40,0.426009844433992,0.6743279383161989,0.6693306693306693,SPY,random_walk,23,long_window_02
20,0.5,0.5,1.0,SPY,buy_hold,23,long_window_02
25,0.5,0.5,1.0,SPY,buy_hold,23,long_window_02
40,0.5,0.5,1.0,SPY,buy_hold,23,long_window_02
20,0.2405723443223443,0.502329926336309,0.7872127872127872,SPY,momentum,23,long_window_02
25,0.21148141706177423,0.4917388967278103,0.7922077922077922,SPY,momentum,23,long_window_02
40,0.17691504576659037,0.4956149885583524,0.7642357642357642,SPY,momentum,23,long_window_02
20,0.5,0.5,1.0,SPY,moving_average,23,long_window_02
25,0.5,0.5,1.0,SPY,moving_average,23,long_window_02
