observations,balanced_accuracy,roc_auc,brier,ece,probability_mean,probability_std,probability_min,probability_max,positive_rate,collapse_flag,asset,asset_class,model,seed,fold_id,dataset_hash,feature_hash
126,0.4093722369584439,0.4093722369584439,0.2469444444444444,0.15555555555555578,0.5349206349206347,0.03578476291300158,0.45,0.55,0.8492063492063492,False,SPY,etfs,momentum,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.23345238095238088,0.14047619047619075,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5362511052166224,0.5590922487474211,0.27075835139544463,0.20922939224049095,0.4950277913500539,0.18709357910526753,0.17219098664614327,0.8864996243977653,0.4603174603174603,False,SPY,etfs,logistic_regression,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.33510167992926615,0.22227849021781995,0.02060034462270921,0.6698758458534813,0.02250804014746188,0.658816412240337,0.7190118719037654,1.0,True,SPY,etfs,LightGBM,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.41069849690539345,0.21966892687984008,0.015107938221522677,0.6753682522546678,0.02966059203326799,0.6430363059043884,0.7093045711517334,1.0,True,SPY,etfs,XGBoost,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.4910109048040083,0.23572769280885994,0.1505055387843116,0.5399706516918789,0.005870298360579567,0.5318009389559964,0.5547407752517522,1.0,True,SPY,etfs,CatBoost,11,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4849690539345712,0.4718538166814029,0.33673693143711436,0.2695120000006587,0.4803763311146401,0.26147340535125196,0.006587802185156644,0.9977636809229765,0.49206349206349204,False,SPY,etfs,random,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21378622792755628,0.008210180623973717,0.6822660098522167,0.0,0.6822660098522167,0.6822660098522167,1.0,True,SPY,etfs,historical_mean,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4854111405835544,0.4854111405835544,0.25011904761904763,0.1809523809523811,0.5095238095238094,0.049084590781162646,0.45,0.55,0.5952380952380952,False,SPY,etfs,random_walk,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.30952380952380953,0.30952380952380953,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4093722369584439,0.4093722369584439,0.2469444444444444,0.15555555555555578,0.5349206349206347,0.03578476291300158,0.45,0.55,0.8492063492063492,False,SPY,etfs,momentum,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.23345238095238088,0.14047619047619075,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5362511052166224,0.5590922487474211,0.27075835139544463,0.20922939224049095,0.4950277913500539,0.18709357910526753,0.17219098664614327,0.8864996243977653,0.4603174603174603,False,SPY,etfs,logistic_regression,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.3280282935455349,0.21818757231020777,0.01961910374087794,0.7100952942170684,0.010763906521431775,0.7047400505666844,0.7317304785646209,1.0,True,SPY,etfs,LightGBM,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.3393751842027704,0.2195743873912319,0.003837116180904321,0.6866390742952861,0.013834186825679369,0.6810506582260132,0.7220409512519836,1.0,True,SPY,etfs,XGBoost,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5137046861184793,0.33480695549661066,0.24958491444779868,0.1804243859581819,0.5100518045180086,0.011514584114146275,0.4933304660505853,0.5355353920092356,0.8650793650793651,False,SPY,etfs,CatBoost,17,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4708222811671088,0.484526967285588,0.3309618799849466,0.2574738461666026,0.5157270545765323,0.2813028697103269,0.012823118470840722,0.9952907818192178,0.5238095238095238,False,SPY,etfs,random,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21378622792755628,0.008210180623973717,0.6822660098522167,0.0,0.6822660098522167,0.6822660098522167,1.0,True,SPY,etfs,historical_mean,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4854111405835544,0.4854111405835544,0.25011904761904763,0.1809523809523811,0.5095238095238094,0.049084590781162646,0.45,0.55,0.5952380952380952,False,SPY,etfs,random_walk,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.30952380952380953,0.30952380952380953,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4093722369584439,0.4093722369584439,0.2469444444444444,0.15555555555555578,0.5349206349206347,0.03578476291300158,0.45,0.55,0.8492063492063492,False,SPY,etfs,momentum,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.23345238095238088,0.14047619047619075,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5362511052166224,0.5590922487474211,0.27075835139544463,0.20922939224049095,0.4950277913500539,0.18709357910526753,0.17219098664614327,0.8864996243977653,0.4603174603174603,False,SPY,etfs,logistic_regression,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21511250104610918,0.037332026256703954,0.7278082167328944,1.1102230246251565e-16,0.7278082167328943,0.7278082167328943,1.0,True,SPY,etfs,LightGBM,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21509167334257842,0.03705202397846041,0.7275282144546509,0.0,0.7275282144546509,0.7275282144546509,1.0,True,SPY,etfs,XGBoost,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.3616268788682582,0.3946360153256705,0.2568489719183353,0.19525370531519443,0.49522248516099604,0.021737220261097583,0.47346827843642186,0.5605982115232456,0.373015873015873,False,SPY,etfs,CatBoost,23,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5291777188328912,0.5626289419392868,0.3031451686275426,0.2289055732242573,0.49297861963187856,0.2721265145556755,0.007362269751005512,0.9756223516367559,0.47619047619047616,False,SPY,etfs,random,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21378622792755628,0.008210180623973717,0.6822660098522167,0.0,0.6822660098522167,0.6822660098522167,1.0,True,SPY,etfs,historical_mean,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4854111405835544,0.4854111405835544,0.25011904761904763,0.1809523809523811,0.5095238095238094,0.049084590781162646,0.45,0.55,0.5952380952380952,False,SPY,etfs,random_walk,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.30952380952380953,0.30952380952380953,1.0,0.0,1.0,1.0,1.0,True,SPY,etfs,buy_hold,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.4093722369584439,0.4093722369584439,0.2469444444444444,0.15555555555555578,0.5349206349206347,0.03578476291300158,0.45,0.55,0.8492063492063492,False,SPY,etfs,momentum,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.23345238095238088,0.14047619047619075,0.5499999999999997,3.3306690738754696e-16,0.55,0.55,1.0,True,SPY,etfs,moving_average,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5362511052166224,0.5590922487474211,0.27075835139544463,0.20922939224049095,0.4950277913500539,0.18709357910526753,0.17219098664614327,0.8864996243977653,0.4603174603174603,False,SPY,etfs,logistic_regression,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5,0.21417102621806217,0.021265120652940284,0.7117413111291307,1.1102230246251565e-16,0.7117413111291306,0.7117413111291306,1.0,True,SPY,etfs,LightGBM,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.34350132625994695,0.21706244825199547,0.02842460076014197,0.7189007912363324,0.006520966288123236,0.7162386178970337,0.7348738312721252,1.0,True,SPY,etfs,XGBoost,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
126,0.5,0.5666077217801355,0.24832473281768688,0.1882038832819357,0.5022723071942548,0.00395896342992165,0.500592222819335,0.5255294845265055,1.0,True,SPY,etfs,CatBoost,42,long_window_02,f6a2c862b9bf4ab413eaa2a79a93cda5eed51d335f391c48528794d65fb51b21,2338a5a4d6efca09
