cost_bps,net_return_diagnostic,sharpe_diagnostic,max_drawdown,turnover,total_cost,asset,model,seed,fold_id
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,moving_average,11,long_window_02
0,0.025370660178738014,0.2721424481650685,-0.5171447473472679,45.0,0.0,SPY,logistic_regression,11,long_window_02
8,0.021835954305000183,0.2423364218888873,-0.5217986411185744,45.0,0.036,SPY,logistic_regression,11,long_window_02
15,0.0187484693050588,0.2163016225933112,-0.5258400798544436,45.0,0.0675,SPY,logistic_regression,11,long_window_02
25,0.014346488658432133,0.17922208478497195,-0.5315641631686759,45.0,0.11250000000000002,SPY,logistic_regression,11,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,LightGBM,11,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,LightGBM,11,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,LightGBM,11,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,LightGBM,11,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,XGBoost,11,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,XGBoost,11,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,XGBoost,11,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,XGBoost,11,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,CatBoost,11,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,CatBoost,11,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,CatBoost,11,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,CatBoost,11,long_window_02
0,-0.00983354218475141,-0.026062958991184916,-0.23834504336984919,133.0,0.0,SPY,random,17,long_window_02
8,-0.01984561347008995,-0.11229619752377785,-0.2718237812724964,133.0,0.10640000000000004,SPY,random,17,long_window_02
15,-0.02853607827991389,-0.18755143379013717,-0.3044334391363893,133.0,0.1995,SPY,random,17,long_window_02
25,-0.04083835812482184,-0.2945423854585458,-0.38097972843823213,133.0,0.3325,SPY,random,17,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,historical_mean,17,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,historical_mean,17,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,historical_mean,17,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,historical_mean,17,long_window_02
0,-0.015065451510979488,-0.07054083507963833,-0.2836336222106095,141.0,0.0,SPY,random_walk,17,long_window_02
8,-0.02562060611819883,-0.1620009253681165,-0.32606944694810835,141.0,0.11280000000000005,SPY,random_walk,17,long_window_02
15,-0.034777215216532764,-0.24185264000264553,-0.365196692541495,141.0,0.2115,SPY,random_walk,17,long_window_02
25,-0.047730944295635735,-0.3554363086726648,-0.42946644436138437,141.0,0.3525,SPY,random_walk,17,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,buy_hold,17,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,buy_hold,17,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,buy_hold,17,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,buy_hold,17,long_window_02
0,-0.022478371309510137,-0.13454139632229067,-0.824168998101043,17.0,0.0,SPY,momentum,17,long_window_02
8,-0.023756869700109595,-0.14547501298674417,-0.8258720931148253,17.0,0.013600000000000001,SPY,momentum,17,long_window_02
15,-0.024875833784269497,-0.15501127675216986,-0.8273510042248723,17.0,0.025500000000000002,SPY,momentum,17,long_window_02
25,-0.026474804995264,-0.16857895585024654,-0.829445567330695,17.0,0.0425,SPY,momentum,17,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,moving_average,17,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,moving_average,17,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,moving_average,17,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,moving_average,17,long_window_02
0,0.025370660178738014,0.2721424481650685,-0.5171447473472679,45.0,0.0,SPY,logistic_regression,17,long_window_02
8,0.021835954305000183,0.2423364218888873,-0.5217986411185744,45.0,0.036,SPY,logistic_regression,17,long_window_02
15,0.0187484693050588,0.2163016225933112,-0.5258400798544436,45.0,0.0675,SPY,logistic_regression,17,long_window_02
25,0.014346488658432133,0.17922208478497195,-0.5315641631686759,45.0,0.11250000000000002,SPY,logistic_regression,17,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,LightGBM,17,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,LightGBM,17,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,LightGBM,17,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,LightGBM,17,long_window_02
0,0.07773354122771292,0.711213304376664,-0.6409813899421073,1.0,0.0,SPY,XGBoost,17,long_window_02
8,0.0776528894041888,0.7105971502063585,-0.6409813899421073,1.0,0.0008,SPY,XGBoost,17,long_window_02
15,0.07758227198968659,0.7100552652203403,-0.6409813899421072,1.0,0.0015,SPY,XGBoost,17,long_window_02
25,0.07748131364314381,0.7092767014655204,-0.6409813899421073,1.0,0.0025,SPY,XGBoost,17,long_window_02
0,0.05764041110779217,0.5429220245848146,-0.6433227347242932,13.0,0.0,SPY,CatBoost,17,long_window_02
8,0.05658658284124751,0.5339574446802827,-0.6467592704960516,13.0,0.010400000000000001,SPY,CatBoost,17,long_window_02
15,0.055664001943666275,0.5260788446489111,-0.6497435670039705,13.0,0.0195,SPY,CatBoost,17,long_window_02
25,0.05434524834179366,0.5147720566372714,-0.6539703864437392,13.0,0.0325,SPY,CatBoost,17,long_window_02
