cost_scenario,gross_return,net_return,sharpe,sortino,calmar,max_drawdown,turnover,total_cost,run_id,asset,asset_class,model,retraining_frequency,hyperparameter_variant,feature_ablation,break_even_cost_bps
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_momentum,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_momentum,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volatility,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volatility,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volatility,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volatility,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volume,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volume,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volume,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_volume,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_lagged_returns,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_lagged_returns,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_lagged_returns,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,remove_lagged_returns,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,noisy_full,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,noisy_full,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,noisy_full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,noisy_full,199.9969482421875
diagnostic_0bps,-0.21724949458813414,-0.21724949458813414,-4.481050174010049,-4.742994645645609,-1.1766518364113985,-0.1846336255682145,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,weekly_expanding,base,full,0.0
realistic,-0.21724949458813414,-0.21802212200425064,-4.486070598372633,-4.74969505888606,-1.1765622554544304,-0.18530436531812988,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,weekly_expanding,base,full,0.0
stress_15bps,-0.21724949458813414,-0.21869806664383096,-4.489503446582968,-4.754280025876675,-1.1764838410681053,-0.18589126259930566,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,weekly_expanding,base,full,0.0
stress_25bps,-0.21724949458813414,-0.21966353278038608,-4.4928786813318276,-4.758790726805432,-1.176371770189498,-0.18672968728669948,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,weekly_expanding,base,full,0.0
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,CatBoost,monthly_expanding,base,full,199.9969482421875
